iter	RMSE
0	2907323.965
1	2758035.099
2	2644170.526
3	2532353.207
4	2447532.377
5	2358105.986
6	2276125.139
7	2220741.587
8	2173487.781
9	2127705.528
10	2081163.557
11	2034367.872
12	1989114.131
13	1957870.171
14	1929473.067
15	1905617.348
16	1881645.826
17	1862429.329
18	1848075.75
19	1836559.595
20	1821916.428
21	1807255.224
22	1797041.286
23	1782918.486
24	1772553.543
25	1757078.695
26	1744689.135
27	1737056.645
28	1732718.88
29	1725430.697
30	1720400.287
31	1715277.258
32	1708393.419
33	1703882.261
34	1697624.112
35	1692824.603
36	1687979.147
37	1683894.523
38	1679189.563
39	1674460.656
40	1671648.935
41	1664971.014
42	1659477.094
43	1652174.054
44	1648567.249
45	1645786.963
46	1643719.577
47	1641048.988
48	1637337.246
49	1634222.691
50	1628981.789
51	1626102.407
52	1621318.304
53	1618313.245
54	1615532.806
55	1612014.29
56	1607710.34
57	1604684.385
58	1602433.586
59	1598786.296
60	1598048.117
61	1594424.765
62	1592153.158
63	1591159.135
64	1586103.57
65	1582718.905
66	1580218.261
67	1577322.226
68	1574786.369
69	1572849.434
70	1571467.965
71	1567599.457
72	1565152.433
73	1562314.041
74	1556123.891
75	1551507.423
76	1549623.16
77	1547670.599
78	1544401.19
79	1542369.292
80	1537654.288
81	1534041.73
82	1531281.289
83	1529017.241
84	1525516.216
85	1523482.012
86	1521013.765
87	1518876.318
88	1517611.893
89	1514611.235
90	1512436.238
91	1510653.732
92	1506670.399
93	1501757.662
94	1500108.037
95	1497106.143
96	1493370.002
97	1491384.19
98	1489128.423
99	1487621.962
100	1485938.893
101	1484542.237
102	1481216.145
103	1477657.615
104	1473842.276
105	1472564.083
106	1470555.486
107	1469422.986
108	1466799.178
109	1463036.824
110	1461137.649
111	1457762.351
112	1454086.524
113	1452382.223
114	1451201.625
115	1447353.416
116	1444903.047
117	1442688.735
118	1441708.569
119	1438695.791
120	1436200.534
121	1434619.502
122	1432545.575
123	1431429.736
124	1430495.512
125	1428707.085
126	1425298.903
127	1424137.871
128	1423338.624
129	1420573.24
130	1419415.309
131	1416337.251
132	1414654.161
133	1413983.21
134	1412548.563
135	1409180.563
136	1407643.525
137	1405959.673
138	1403610.062
139	1399749.124
140	1396761.832
141	1393680.184
142	1390983.272
143	1390170.335
144	1387255.891
145	1385132.489
146	1382193.209
147	1381417.588
148	1378393.635
149	1376617.736
150	1375100.414
151	1372719.3
152	1371806.03
153	1370765.253
154	1370014.608
155	1369513.635
156	1368609.623
157	1366546.508
158	1363722.435
159	1362402.135
160	1361793.966
161	1360986.406
162	1360520.834
163	1358467.265
164	1356374.019
165	1353756.029
166	1352897.846
167	1350442.199
168	1349648.982
169	1348171.774
170	1347425.292
171	1346985.636
172	1345931.095
173	1344692.56
174	1342691.24
175	1341509.088
176	1339335.398
177	1337634.611
178	1336392.035
179	1335971.133
180	1334527.702
181	1333842.608
182	1333222.364
183	1332563.481
184	1332161.126
185	1331739.751
186	1330491.685
187	1326917.527
188	1326516.26
189	1324423.482
190	1322494.865
191	1320781.323
192	1319671.875
193	1318122.57
194	1317482.389
195	1317107.638
196	1316752.943
197	1316413.239
198	1315852.139
199	1315532.104
200	1313065.079
201	1310740.515
202	1310199.694
203	1308377.021
204	1307108.221
205	1306757.894
206	1306411.734
207	1305517.019
208	1305198.113
209	1304708.397
210	1304415.232
211	1303448.841
212	1302457.676
213	1301955.021
214	1301481.193
215	1300065.389
216	1299780.392
217	1299170.495
218	1295575.62
219	1294536.14
220	1294237.856
221	1291082.249
222	1289542.389
223	1289268.455
224	1287912.777
225	1286092.401
226	1285627.074
227	1285212.456
228	1284520.24
229	1283363.111
230	1282924.082
231	1282098.018
232	1279329.651
233	1277979.866
234	1276600.41
235	1275439.63
236	1274577.533
237	1274042.911
238	1273517.723
239	1272944.271
240	1270670.806
241	1268555.978
242	1267403.549
243	1267159.503
244	1266927.551
245	1265900.199
246	1264949.041
247	1264277.816
248	1262597.212
249	1260737.011
250	1259523.395
251	1258051.486
252	1257656.385
253	1257257.128
254	1256313.717
255	1255885.119
256	1254000.496
257	1253232.877
258	1253013.717
259	1250372.02
260	1250073.004
261	1248780.457
262	1246298.415
263	1245941.085
264	1244422.336
265	1241912.617
266	1239589.955
267	1237840.27
268	1235806.794
269	1234267.617
270	1231914.01
