iter	Passed	Remaining
0	2	2016
1	4	2007
2	5	1832
3	7	1959
4	12	2450
5	14	2397
6	16	2357
7	18	2339
8	20	2273
9	23	2289
10	27	2481
11	29	2464
12	31	2428
13	34	2401
14	35	2348
15	37	2315
16	40	2368
17	44	2406
18	46	2381
19	48	2363
20	50	2345
21	52	2331
22	55	2343
23	59	2413
24	61	2393
25	63	2372
26	65	2352
27	67	2327
28	68	2307
29	73	2381
30	75	2365
31	77	2348
32	79	2339
33	81	2324
34	84	2331
35	89	2401
36	92	2394
37	94	2383
38	96	2369
39	98	2360
40	100	2357
41	104	2392
42	106	2380
43	108	2365
44	110	2352
45	112	2335
46	114	2319
47	117	2327
48	120	2333
49	121	2315
50	123	2297
51	125	2279
52	126	2261
53	128	2249
54	130	2235
55	133	2249
56	136	2253
57	137	2237
58	139	2222
59	140	2207
60	141	2180
61	143	2166
62	144	2153
63	146	2138
64	149	2156
65	152	2155
66	154	2144
67	155	2132
68	157	2121
69	158	2109
70	160	2097
71	162	2096
72	166	2116
73	168	2107
74	170	2097
75	171	2087
76	173	2076
77	174	2065
78	176	2055
79	178	2054
80	182	2072
81	185	2076
82	187	2066
83	188	2057
84	190	2047
85	191	2038
86	193	2034
87	197	2047
88	199	2042
89	201	2033
90	202	2024
91	204	2015
92	205	2006
93	207	1998
94	209	1996
95	213	2007
96	214	1998
97	216	1990
98	217	1982
99	219	1974
100	220	1966
101	222	1960
102	225	1959
103	228	1967
104	230	1961
105	231	1954
106	233	1947
107	234	1939
108	236	1932
109	238	1925
110	240	1923
111	243	1932
112	245	1926
113	246	1919
114	248	1911
115	249	1904
116	251	1898
117	253	1891
118	254	1886
119	257	1891
120	260	1888
121	261	1882
122	263	1876
123	264	1869
124	266	1863
125	267	1858
126	270	1857
127	274	1867
128	276	1864
129	278	1860
130	279	1857
131	281	1852
132	283	1847
133	284	1841
134	287	1843
135	290	1845
136	292	1840
137	293	1834
138	295	1829
139	296	1823
140	298	1818
141	300	1813
142	302	1813
143	306	1819
144	307	1815
145	309	1810
146	311	1804
147	312	1799
148	314	1793
149	315	1788
150	318	1789
151	321	1793
152	323	1788
153	324	1784
154	326	1778
155	327	1773
156	329	1767
157	330	1763
158	333	1763
159	336	1766
160	337	1761
161	339	1756
162	341	1751
163	342	1746
164	344	1741
165	345	1736
166	347	1734
167	351	1740
